Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 3х5	приз в категорії 3х5
314	2010-12-09	Б	2	32	35	41	2	25	0	182376	20	1379	581	44	581	44
313	2010-12-07	Б	2	6	16	38	9	5	0	147898	9	2855	580	41	580	41
312	2010-12-05	Б	3	20	13	5	34	29	0	115744	14	1802	569	41	569	41
311	2010-12-02	Б	4	3	41	42	14	34	0	83971	13	1713	501	41	501	41
310	2010-11-30	Б	4	10	22	16	23	26	0	55124	7	2962	440	44	440	44
309	2010-11-28	Б	4	13	41	40	5	15	0	28444	14	1578	467	44	467	44
308	2010-11-25	Б	1	32	16	31	2	5	1	488060	29	1303	1190	29	1190	29
307	2010-11-23	А	2	6	7	31	19	24	0	440002	17	2417	771	49	771	49
306	2010-11-21	А	4	24	31	23	28	6	0	384062	27	1359	736	46	736	46
305	2010-11-18	Б	2	12	13	18	24	40	0	338175	10	3446	569	56	569	56
304	2010-11-16	Б	2	29	40	14	37	34	0	295549	22	1500	577	53	577	53
303	2010-11-14	А	3	23	7	41	13	34	0	254622	52	557	1181	23	1181	23
302	2010-11-11	А	3	14	17	3	37	19	0	218400	25	1126	668	39	668	39
301	2010-11-09	А	1	4	18	14	20	33	0	182832	20	1357	677	37	677	37
300	2010-11-07	Б	4	6	8	41	27	40	0	149068	12	2170	616	39	616	39
299	2010-11-04	Б	1	35	42	25	41	20	0	115284	16	1572	464	50	464	50
298	2010-11-02	А	3	9	35	11	24	30	0	82493	9	2509	394	53	394	53
297	2010-10-31	А	1	3	39	22	6	30	0	53690	18	1187	596	33	596	33
296	2010-10-28	А	1	9	26	10	11	32	0	26080	11	1815	385	48	385	48
295	2010-10-26	А	2	24	36	32	2	22	1	307178	12	2643	643	46	643	46
294	2010-10-24	А	1	18	15	20	11	26	0	266881	17	1827	661	44	661	44
293	2010-10-21	А	1	24	37	4	38	9	0	228261	13	2253	561	48	561	48
292	2010-10-19	А	3	2	23	41	32	28	0	191354	18	1479	490	50	490	50
291	2010-10-17	А	2	17	26	31	33	32	0	157809	14	1863	494	49	494	49
290	2010-10-14	А	1	38	29	33	2	3	0	124563	4	6572	473	52	473	52
289	2010-10-12	А	2	31	37	12	16	36	0	89754	7	3376	425	52	425	52
288	2010-10-10	А	2	29	31	36	38	2	0	57731	9	2616	474	46	474	46
287	2010-10-07	Б	4	37	22	24	21	36	0	26846	3	6891	353	54	353	54
286	2010-10-05	Б	2	32	22	21	20	18	1	401480	37	878	854	35	854	35
285	2010-10-03	Б	4	33	15	6	9	1	0	359572	27	1019	998	25	998	25
284	2010-09-30	А	2	12	29	25	38	32	0	323999	14	2064	639	42	639	42
283	2010-09-28	А	4	19	26	34	12	40	0	287714	20	1523	682	41	682	41
282	2010-09-26	Б	2	42	24	21	27	28	0	249169	14	1996	577	45	577	45
281	2010-09-23	А	4	4	31	40	20	15	0	213604	25	1032	680	35	680	35
280	2010-09-21	А	1	16	3	21	41	22	0	178734	14	1722	703	32	703	32
279	2010-09-19	Б	2	29	14	31	30	34	0	146262	15	1653	580	40	580	40
278	2010-09-16	Б	4	41	36	27	9	28	0	114536	15	1611	622	36	622	36
277	2010-09-14	А	2	33	4	28	20	8	0	82210	14	1566	702	29	702	29
276	2010-09-12	А	3	39	18	22	21	5	0	54284	17	1311	534	39	534	39
275	2010-09-09	А	3	22	4	30	26	25	0	25797	3	6670	429	43	429	43
274	2010-09-07	А	1	42	13	33	16	23	1	336911	18	1625	735	37	735	37
273	2010-09-05	А	2	2	7	27	18	13	0	300877	23	1230	767	34	767	34
272	2010-09-02	Б	3	42	30	19	25	10	0	263915	24	1031	852	27	852	27
271	2010-08-31	А	2	12	9	3	13	26	0	230180	31	824	621	38	621	38
270	2010-08-29	А	4	13	21	14	18	6	0	197119	24	950	814	26	814	26
269	2010-08-26	А	1	7	12	26	33	39	0	167048	14	1737	514	44	514	44
268	2010-08-24	Б	4	25	19	4	39	38	0	134399	8	2321	403	43	403	43
267	2010-08-22	А	1	41	2	27	40	15	0	110307	7	3236	475	44	475	44
266	2010-08-19	Б	4	14	29	37	36	34	0	80800	10	2314	425	51	425	51
265	2010-08-17	А	1	5	29	18	16	19	0	51051	9	2236	449	42	449	42
264	2010-08-15	А	4	20	7	23	12	17	0	25529	8	2445	466	39	466	39
263	2010-08-12	А	2	19	4	39	8	9	1	261995	12	2146	660	36	660	36
262	2010-08-10	Б	3	29	40	23	39	17	0	228917	14	1871	445	55	445	55
261	2010-08-08	А	1	25	23	29	34	26	0	196128	11	2395	450	54	450	54
260	2010-08-05	А	2	15	31	11	21	27	0	162451	13	1734	567	37	567	37
259	2010-08-03	Б	2	8	15	33	40	36	0	134137	5	4473	485	43	485	43
258	2010-08-01	Б	3	17	29	4	22	8	0	106574	17	1220	552	35	552	35
257	2010-07-29	А	2	2	23	32	9	31	0	80213	19	1092	570	34	570	34
256	2010-07-27	А	3	1	41	39	26	12	0	52916	17	1220	453	42	453	42
255	2010-07-25	Б	1	27	33	38	19	42	0	26337	8	2528	468	40	468	40
254	2010-07-22	Б	3	20	3	35	21	42	1	374120	27	1104	718	38	718	38
253	2010-07-20	А	1	25	20	30	5	7	0	335756	15	1820	761	33	761	33
252	2010-07-18	Б	4	38	32	8	17	34	0	301129	25	1070	597	42	597	42
251	2010-07-15	Б	4	30	9	38	25	16	0	267382	25	1069	660	37	660	37
250	2010-07-13	Б	4	9	30	14	36	24	0	232471	11	2408	429	57	429	57
249	2010-07-11	А	3	25	36	19	29	32	0	198951	15	1643	545	42	545	42
248	2010-07-08	Б	1	38	16	9	3	1	0	130789	18	1268	595	35	595	35
247	2010-07-06	Б	1	8	34	4	1	22	0	101441	11	1831	551	34	551	34
246	2010-07-04	Б	3	1	21	25	9	6	0	75409	18	1091	670	27	670	27
245	2010-07-01	А	1	39	27	28	30	20	0	50124	5	4155	358	54	358	54
244	2010-06-29	Б	4	20	40	19	42	30	0	21854	17	974	382	40	382	40
243	2010-06-27	А	4	16	42	13	35	30	1	320244	15	1856	758	34	758	34
242	2010-06-24	А	1	41	35	39	25	11	0	284525	18	1684	562	50	562	50
241	2010-06-22	А	2	21	41	28	16	6	0	246593	26	895	924	23	924	23
240	2010-06-20	А	4	7	27	17	8	24	0	216694	21	1185	770	30	770	30
239	2010-06-17	Б	1	24	1	5	16	23	0	182875	9	2765	528	44	528	44
238	2010-06-15	А	2	23	14	40	38	33	0	149665	14	1683	481	45	481	45
237	2010-06-13	А	2	7	18	31	26	16	0	118927	16	1473	522	42	522	42
236	2010-06-10	Б	1	33	22	32	2	38	0	84994	13	1697	453	45	453	45
235	2010-06-08	Б	2	38	17	16	41	14	0	56201	12	1778	365	54	365	54
234	2010-06-06	Б	4	26	31	38	22	40	0	28920	7	2972	377	51	377	51
233	2010-06-03	Б	1	26	12	23	16	39	1	288831	20	1407	558	47	558	47
232	2010-06-01	Б	2	9	7	38	18	28	0	250438	14	1946	672	38	672	38
231	2010-05-30	А	3	36	20	15	4	14	0	215544	11	2462	511	49	511	49
230	2010-05-27	А	2	5	40	28	10	12	0	179016	18	1387	721	32	721	32
229	2010-05-25	Б	2	20	35	15	4	26	0	146840	10	2319	420	51	420	51
228	2010-05-23	Б	4	24	3	28	4	30	0	117489	13	1894	572	40	572	40
227	2010-05-20	А	1	35	1	14	11	30	0	84014	18	1258	476	44	476	44
226	2010-05-18	А	3	19	11	13	16	10	0	53751	17	1151	553	33	553	33
225	2010-05-16	А	2	3	32	29	25	15	0	28289	22	917	513	36	513	36
224	2010-05-13	Б	4	35	9	37	38	39	1	55312	19	1275	357	63	357	63
223	2010-05-11	А	1	37	10	31	1	34	0	24049	9	2067	456	38	456	38
222	2010-05-09	А	4	6	2	12	9	22	1	350336	30	885	870	28	870	28
221	2010-05-06	А	4	21	7	11	4	26	0	316076	29	959	981	26	981	26
220	2010-05-04	А	3	21	27	12	14	38	0	280585	12	1834	565	36	565	36
219	2010-05-02	А	3	24	33	9	35	17	0	250715	10	2540	542	43	542	43
218	2010-04-29	Б	2	27	19	9	36	42	0	212840	26	1033	764	32	764	32
217	2010-04-27	Б	1	7	10	36	3	26	0	174880	18	1471	750	33	750	33
216	2010-04-25	А	2	38	1	32	34	28	0	139729	14	2018	482	54	482	54
215	2010-04-22	Б	2	11	40	26	24	14	0	99572	13	2055	487	51	487	51
214	2010-04-20	А	4	22	17	2	25	20	0	64311	13	1741	603	35	603	35
213	2010-04-18	А	3	37	31	8	26	24	0	33960	9	2831	524	45	524	45
212	2010-04-15	Б	1	13	29	2	20	27	1	560695	18	2217	855	43	855	43
211	2010-04-13	Б	4	15	10	38	27	1	0	506172	23	1684	932	38	932	38
210	2010-04-11	А	2	4	20	31	2	19	0	455747	18	1872	851	37	851	37
209	2010-04-08	Б	3	1	13	4	34	41	0	411404	22	1592	720	45	720	45
208	2010-04-06	А	2	11	2	23	9	16	0	366063	29	1044	805	35	805	35
207	2010-04-04	Б	1	13	31	14	11	37	0	327325	16	1837	605	45	605	45
206	2010-04-01	А	3	17	4	18	39	24	0	289274	16	1942	642	45	642	45
205	2010-03-30	А	4	19	15	21	2	11	0	248107	41	669	1025	25	1025	25
204	2010-03-28	Б	2	37	13	19	20	31	0	213132	13	2296	520	53	520	53
203	2010-03-25	Б	4	35	13	6	5	32	0	173647	13	2175	522	50	522	50
202	2010-03-23	Б	3	23	26	14	39	36	0	137456	12	2448	502	54	502	54
201	2010-03-21	А	4	31	21	36	1	39	0	97212	10	2813	520	50	520	50
200	2010-03-18	А	3	37	13	16	19	41	0	60749	17	1500	477	50	477	50
199	2010-03-16	Б	2	2	18	6	17	21	0	27345	20	1046	697	28	697	28
198	2010-03-14	А	4	33	4	1	28	22	1	91780	17	1589	636	39	636	39
197	2010-03-11	А	3	30	21	5	10	26	0	56691	25	913	706	30	706	30
196	2010-03-09	Б	3	41	37	15	22	1	0	27079	7	2956	362	53	362	53
195	2010-03-07	Б	2	22	38	2	31	18	2	324651	38	1189	998	42	998	42
194	2010-03-04	А	1	4	41	22	9	36	0	592753	15	3011	808	52	808	52
193	2010-03-02	Б	4	28	21	18	41	6	0	536149	34	1126	1083	33	1083	33
192	2010-02-28	Б	1	33	12	1	14	20	0	488692	10	3843	825	43	825	43
191	2010-02-25	А	4	15	40	23	5	41	0	440239	26	1378	882	38	882	38
190	2010-02-23	Б	2	19	41	1	21	10	0	394207	15	2169	886	34	886	34
189	2010-02-21	А	4	6	37	20	23	10	0	353488	18	1889	676	47	676	47
188	2010-02-18	Б	4	9	20	16	23	3	0	306352	19	1614	827	34	827	34
187	2010-02-16	А	3	9	11	30	8	13	0	265737	14	2020	674	39	674	39
186	2010-02-14	Б	1	21	31	14	25	4	0	230255	19	1440	890	28	890	28
185	2010-02-11	А	2	13	11	21	29	32	0	194809	26	1059	713	36	713	36
184	2010-02-09	Б	4	21	17	42	40	12	0	159208	10	2534	559	42	559	42
183	2010-02-07	Б	3	19	6	20	30	31	0	126354	13	1978	598	40	598	40
182	2010-02-04	А	3	42	30	36	6	29	0	92720	19	1338	555	42	555	42
181	2010-02-02	А	2	10	30	11	17	1	0	58948	15	1469	450	45	450	45
180	2010-01-31	А	4	33	3	11	30	4	0	28084	13	1650	552	36	552	36
179	2010-01-28	Б	4	9	22	3	18	30	1	157792	14	1888	563	44	563	44
178	2010-01-26	Б	4	2	22	12	42	5	0	123897	25	1007	483	48	483	48
177	2010-01-24	Б	2	6	22	20	42	21	0	91590	17	1421	596	38	596	38
176	2010-01-21	А	3	16	32	3	26	7	0	60471	31	967	967	21	967	21
175	2010-01-19	Б	3	18	12	10	33	7	0	38156	26	1146	766	27	766	27
174	2010-01-17	А	2	37	11	21	38	19	0	19335	10	3023	679	31	679	31
173	2010-01-14	А	3	2	6	11	19	21	1	36826	45	679	823	26	823	26
172	2010-01-12	Б	3	2	15	8	28	3	0	17426	27	1026	839	23	839	23
171	2010-01-10	А	2	5	21	11	17	20	1	36745	24	1278	798	27	798	27
170	2010-01-07	Б	2	18	28	5	21	27	0	17023	17	1345	612	26	612	26
169	2010-01-05	Б	4	41	12	6	23	31	1	165168	47	1110	973	37	973	37
168	2010-01-03	Б	3	8	33	12	6	15	0	132822	21	1414	883	23	883	23
167	2009-12-31	Б	4	1	24	19	12	28	0	113574	25	1765	814	38	814	38
166	2009-12-29	А	1	29	38	28	1	42	0	86535	35	1023	913	27	913	27
165	2009-12-27	А	4	11	19	36	1	6	0	64199	29	1266	921	28	921	28
164	2009-12-24	Б	3	40	31	6	23	30	0	39055	10	3359	660	35	660	35
163	2009-12-22	А	4	23	33	30	31	8	0	17681	8	3535	598	33	598	33
162	2009-12-20	А	1	5	24	31	7	23	1	138176	26	1465	812	33	812	33
161	2009-12-17	А	4	26	28	33	25	42	0	113636	28	1221	964	24	964	24
160	2009-12-15	А	1	28	5	15	39	9	0	89899	32	1137	1091	23	1091	23
159	2009-12-13	А	4	23	40	22	38	35	0	66963	12	3184	831	32	831	32
158	2009-12-10	А	4	4	25	13	40	21	0	40919	43	748	1155	19	1155	19
157	2009-12-08	Б	2	27	24	9	30	20	0	19391	16	1965	757	29	757	29
156	2009-12-06	Б	2	2	40	10	19	28	1	169491	36	1251	1078	29	1078	29
155	2009-12-03	Б	3	17	32	26	4	28	0	141422	19	2116	1011	28	1011	28
154	2009-12-01	Б	1	10	27	16	32	14	0	116664	21	1804	934	28	934	28
153	2009-11-29	А	3	9	5	27	36	39	0	92620	27	1442	1062	25	1062	25
152	2009-11-26	Б	2	17	14	37	42	21	0	67583	36	971	1073	22	1073	22
151	2009-11-24	А	2	14	31	30	1	39	0	44553	25	1369	711	33	711	33
150	2009-11-22	А	4	3	6	39	11	7	0	22360	23	1495	807	30	807	30
149	2009-11-19	Б	2	33	21	28	26	4	1	188410	66	598	1278	21	1278	21
148	2009-11-17	Б	2	27	2	32	24	14	0	163070	34	1172	946	29	946	29
147	2009-11-15	Б	4	35	20	41	3	10	0	137678	28	1531	831	36	831	36
146	2009-11-12	А	2	35	41	24	3	8	0	109534	23	1750	879	32	879	32
145	2009-11-10	А	3	38	15	11	31	6	0	84132	21	1806	658	40	658	40
144	2009-11-08	А	4	38	36	35	7	31	0	60451	14	2634	615	42	615	42
143	2009-11-05	А	3	5	9	22	38	12	0	37605	13	2327	734	29	734	29
142	2009-11-03	А	4	18	15	34	3	12	0	18444	17	1661	615	32	615	32
141	2009-11-01	Б	1	14	21	28	36	34	1	600427	38	1587	1337	31	1337	31
140	2009-10-29	Б	3	20	9	38	39	34	0	562834	40	1573	1352	32	1352	32
139	2009-10-27	Б	3	22	36	41	30	4	0	521926	26	2372	1012	42	1012	42
138	2009-10-25	А	4	16	1	38	7	19	0	483788	53	1098	1628	25	1628	25
137	2009-10-22	Б	3	8	26	18	39	22	0	447667	72	754	1832	20	1832	20
136	2009-10-20	А	4	32	28	3	14	7	0	412779	39	1409	1434	27	1434	27
135	2009-10-18	А	3	20	28	34	41	38	0	378270	22	2583	994	40	994	40
134	2009-10-15	А	4	3	34	30	33	27	0	343196	15	3255	1057	32	1057	32
133	2009-10-13	А	1	4	17	29	14	3	0	312746	33	1511	1454	24	1454	24
132	2009-10-11	Б	2	2	5	7	41	42	0	280364	54	930	1327	26	1327	26
131	2009-10-08	Б	3	19	27	21	16	31	0	246435	35	1220	1016	29	1016	29
130	2009-10-06	А	3	1	14	30	15	8	0	218979	28	1571	921	33	921	33
129	2009-10-04	А	4	30	41	31	35	2	0	191277	9	4682	840	35	840	35
128	2009-10-01	Б	2	8	1	7	33	23	0	159104	31	1249	921	29	921	29
127	2009-09-29	Б	4	21	7	40	11	8	0	134253	27	1324	980	25	980	25
126	2009-09-27	Б	1	31	5	10	22	20	0	111484	41	902	1155	22	1155	22
125	2009-09-24	А	3	30	19	1	15	11	0	87494	14	2490	759	32	759	32
124	2009-09-22	А	3	7	6	1	12	38	0	65109	10	3386	628	37	628	37
123	2009-09-20	А	2	17	27	29	38	7	0	41571	19	1631	896	24	896	24
122	2009-09-17	Б	4	4	22	34	6	31	0	19369	22	1280	738	26	738	26
121	2009-09-15	А	1	17	16	1	42	28	1	175052	37	1048	1024	26	1024	26
120	2009-09-13	Б	2	23	39	25	28	1	0	150508	23	1674	1096	24	1096	24
119	2009-09-10	А	1	21	26	15	14	30	0	123686	21	1720	1033	24	1033	24
118	2009-09-08	А	3	13	5	6	19	33	0	100590	28	1188	1030	22	1030	22
117	2009-09-06	Б	1	33	3	11	42	29	0	79537	22	1582	833	29	833	29
116	2009-09-03	Б	1	30	8	39	13	19	0	56998	25	1164	1069	19	1069	19
115	2009-09-01	Б	4	24	41	38	13	31	0	36654	17	1669	632	31	632	31
114	2009-08-30	Б	4	42	15	21	36	26	0	18833	15	1928	633	32	633	32
113	2009-08-27	Б	3	25	32	7	16	38	1	130910	30	1166	1130	21	1130	21
112	2009-08-25	Б	3	21	29	2	11	30	0	107951	39	833	942	24	942	24
111	2009-08-23	Б	2	24	17	3	26	34	0	87356	19	1830	802	30	802	30
110	2009-08-20	А	1	31	18	42	22	34	0	62117	28	1219	821	29	821	29
109	2009-08-18	Б	3	15	38	41	5	42	0	40509	21	1460	741	29	741	29
108	2009-08-16	А	1	3	30	29	40	32	0	21309	15	2106	589	37	589	37
107	2009-08-13	А	4	28	14	18	8	17	1	289611	31	1402	1127	27	1127	27
106	2009-08-11	Б	2	24	15	14	10	9	0	262652	27	1547	894	32	894	32
105	2009-08-09	А	4	8	22	32	30	40	0	235883	38	1067	975	29	975	29
104	2009-08-06	Б	1	17	2	42	6	10	0	209892	21	1975	1016	28	1016	28
103	2009-08-04	А	1	22	3	6	41	35	0	182263	18	2202	693	40	693	40
102	2009-08-02	Б	4	38	40	35	8	6	0	156226	29	1331	877	31	877	31
101	2009-07-30	А	4	28	36	16	41	9	0	129880	15	2302	729	33	729	33
100	2009-07-28	А	1	22	7	36	32	24	0	107036	32	1087	816	30	816	30
99	2009-07-26	Б	1	33	32	3	41	27	0	84868	15	2138	665	33	665	33
98	2009-07-23	А	2	28	4	35	6	8	0	60310	14	2275	580	38	580	38
97	2009-07-21	А	4	1	38	18	28	41	0	38866	16	1814	502	40	502	40
96	2009-07-19	Б	4	31	18	37	9	17	0	19672	19	1429	643	29	643	29
95	2009-07-16	Б	1	40	2	11	12	7	1	60379	19	1561	864	24	864	24
94	2009-07-14	Б	3	4	3	6	15	20	0	40426	10	2952	678	30	678	30
93	2009-07-12	Б	3	37	28	10	21	25	0	21365	17	1642	710	27	710	27
92	2009-07-09	А	2	35	8	30	17	20	1	97891	20	1621	853	26	853	26
91	2009-07-07	Б	1	23	3	14	37	26	0	76971	21	1474	629	34	629	34
90	2009-07-05	А	4	34	36	37	14	1	0	56388	14	2309	581	39	581	39
89	2009-07-02	Б	2	33	7	37	36	2	0	34499	11	2450	513	37	513	37
88	2009-06-30	А	3	6	17	18	25	33	0	16480	14	1628	474	33	474	33
87	2009-06-28	Б	1	26	28	25	33	4	1	38928	14	2006	572	34	572	34
86	2009-06-25	А	1	1	41	34	33	15	0	19525	12	2021	623	27	623	27
85	2009-06-23	А	3	32	42	25	19	18	1	15827	15	1625	554	31	554	31
84	2009-06-21	А	3	14	9	17	13	2	1	93572	20	1516	880	24	880	24
83	2009-06-18	Б	4	1	2	5	28	35	0	72961	19	1598	611	35	611	35
82	2009-06-16	А	4	6	23	10	42	16	0	53346	20	1351	720	26	720	26
81	2009-06-14	А	4	27	4	18	25	14	0	35673	18	1487	826	22	826	22
80	2009-06-11	Б	1	7	34	30	20	21	0	15909	28	847	714	23	714	23
79	2009-06-09	А	3	30	10	31	36	17	1	48870	7	3743	511	36	511	36
78	2009-06-07	А	1	23	5	25	16	35	0	32457	17	1700	708	28	708	28
77	2009-06-04	А	3	3	36	14	5	16	0	15485	22	1220	644	29	644	29
76	2009-06-02	А	1	42	3	28	16	17	1	50027	12	2225	662	28	662	28
