Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1887	2019-12-11	Б	2	34	22	28	45	42	0	1409000	2	13518	92	277	1470	15
1886	2019-12-10	А	2	44	9	28	33	29	0	1385000	3	9715	118	233	1688	15
1885	2019-12-09	А	3	43	37	40	12	3	0	1362000	5	5233	106	233	1432	15
1884	2019-12-08	А	1	6	39	42	2	24	0	1335000	5	5588	140	188	1552	15
1883	2019-12-07	Б	1	5	10	35	13	28	0	1313000	6	4474	167	151	1953	15
1882	2019-12-06	Б	4	36	14	11	43	23	0	1291000	0	0	86	320	1440	15
1881	2019-12-05	Б	4	18	5	11	38	2	0	1271000	5	5306	151	165	1850	15
1880	2019-12-04	А	3	5	31	29	17	21	0	1252000	2	12154	148	155	1571	15
1879	2019-12-03	Б	1	30	16	35	4	43	0	1232000	2	13200	84	296	1313	15
1878	2019-12-02	Б	4	27	38	42	37	5	0	1214000	3	7833	109	203	1406	15
1877	2019-12-01	Б	1	11	30	16	40	12	0	1195000	2	12786	87	277	1364	15
1876	2019-11-30	А	3	23	27	7	16	3	0	1176000	2	12788	125	193	1752	15
1875	2019-11-29	А	2	39	3	16	43	44	0	1155000	2	13833	76	343	1301	15
1874	2019-11-28	А	1	29	20	45	6	22	0	1134000	1	27217	107	240	1551	15
1873	2019-11-27	А	1	15	5	3	17	37	0	1117000	4	5522	153	136	1883	15
1872	2019-11-26	Б	1	29	23	20	9	44	0	1096000	1	28440	104	258	1296	15
1871	2019-11-25	А	2	9	35	34	20	40	0	1079000	7	3273	180	120	1659	15
1870	2019-11-24	А	1	5	32	33	42	29	0	1058000	4	6842	97	266	1491	15
1869	2019-11-23	Б	1	14	11	15	21	43	0	1039000	2	12492	103	229	1485	15
1868	2019-11-22	А	4	13	39	5	37	12	0	1020000	1	24471	95	243	1575	15
1867	2019-11-21	Б	2	8	11	33	15	1	0	998000	3	8665	135	181	1641	15
1866	2019-11-20	Б	4	15	7	32	10	23	0	978000	5	4783	163	138	1706	15
1865	2019-11-19	А	1	37	36	16	2	40	0	955000	1	27196	66	389	1269	15
1864	2019-11-18	Б	4	26	1	9	8	5	0	938000	8	2590	167	117	1598	15
1863	2019-11-17	А	3	45	14	27	32	39	0	916000	4	6741	99	257	1326	15
1862	2019-11-16	А	1	44	11	40	16	31	0	895000	2	12424	95	247	1205	15
1861	2019-11-15	Б	3	42	10	16	25	22	0	872000	8	3396	128	200	1353	15
1860	2019-11-14	Б	4	27	26	11	22	6	0	851000	3	8193	152	152	1722	15
1859	2019-11-13	А	2	19	15	31	18	29	0	831000	4	5936	86	260	1367	15
1858	2019-11-12	Б	4	14	16	25	2	26	0	811000	4	5830	133	165	1557	15
1857	2019-11-11	А	3	12	30	1	19	28	0	792000	1	21054	113	175	1297	15
1856	2019-11-10	Б	4	45	44	9	41	2	0	751000	0	0	74	283	1181	15
1855	2019-11-09	А	1	43	37	31	28	36	0	731000	2	12031	85	267	1183	15
1854	2019-11-08	А	4	3	9	42	41	29	0	712000	2	11466	82	264	1255	15
1853	2019-11-07	А	4	2	12	28	5	21	0	692000	5	4773	143	157	1619	15
1852	2019-11-06	Б	3	42	10	29	19	34	0	675000	1	20655	98	199	1137	15
1851	2019-11-05	А	1	18	27	2	16	4	0	658000	2	10178	94	204	1458	15
1850	2019-11-04	А	2	29	45	25	33	38	0	625000	0	0	121	139	1306	15
1849	2019-11-03	Б	3	37	12	24	39	9	0	609000	4	4835	105	173	1269	15
1848	2019-11-02	А	1	36	4	41	10	12	0	592000	1	20251	97	197	1182	15
1847	2019-11-01	А	4	32	17	13	5	44	0	574000	6	3427	111	174	1180	15
1846	2019-10-31	Б	2	8	6	1	37	20	0	555000	5	4417	98	212	1265	15
1845	2019-10-30	А	4	22	16	31	34	32	0	538000	2	9985	95	198	1042	15
1844	2019-10-29	А	1	5	6	8	33	42	0	519000	2	11161	77	273	1451	15
1843	2019-10-28	Б	3	17	7	23	1	13	0	504000	3	6013	124	137	1238	15
1842	2019-10-27	А	4	3	17	23	8	36	0	489000	2	9240	101	172	1302	15
1841	2019-10-26	Б	4	33	32	27	11	12	0	471000	2	10853	95	215	1271	15
1840	2019-10-25	Б	3	6	20	22	10	35	0	454000	1	19659	139	133	1503	15
1839	2019-10-24	Б	1	23	41	7	1	27	0	436000	3	6949	170	115	1515	15
1838	2019-10-23	Б	2	23	17	15	8	18	0	420000	3	6331	113	158	1350	15
1837	2019-10-22	А	2	18	11	6	25	28	0	408000	1	22266	91	231	1242	15
1836	2019-10-21	Б	2	19	38	43	26	14	0	392000	6	3025	103	166	1084	15
1835	2019-10-20	Б	2	19	37	44	33	3	0	376000	7	2594	111	154	1276	15
1834	2019-10-19	Б	1	33	40	23	6	1	0	361000	3	5738	84	193	1106	15
1833	2019-10-18	А	3	9	35	18	17	16	0	345000	1	18765	81	218	1101	15
1832	2019-10-17	А	2	42	30	15	12	18	0	328000	2	10808	78	261	1108	15
1831	2019-10-16	Б	2	15	2	25	35	13	0	312000	4	4544	84	204	978	15
1830	2019-10-15	А	3	45	43	7	27	28	0	296000	7	2970	123	159	1343	15
1829	2019-10-14	Б	3	4	5	42	17	25	0	282000	3	6100	102	169	1242	15
1828	2019-10-13	Б	4	28	30	31	35	22	0	268000	1	17607	62	268	954	15
1827	2019-10-12	Б	3	33	21	45	3	19	0	256000	2	7477	103	137	1199	15
1826	2019-10-11	А	2	34	24	39	28	31	0	224000	0	0	53	337	784	15
1825	2019-10-10	Б	4	2	36	23	14	6	0	211000	2	8734	90	183	958	15
1824	2019-10-09	Б	4	2	6	36	39	43	0	194000	1	17015	64	251	742	15
1823	2019-10-08	А	2	6	32	28	9	39	0	181000	2	8633	71	229	979	15
1822	2019-10-07	А	2	35	44	17	27	16	0	170000	3	4683	58	228	794	15
1821	2019-10-06	А	3	9	42	3	31	2	0	160000	1	13593	53	242	874	15
1820	2019-10-05	Б	3	13	42	11	39	30	0	150000	2	6939	42	312	707	15
1819	2019-10-04	Б	1	45	10	3	13	34	0	137000	4	3579	69	195	865	15
1818	2019-10-03	А	4	43	22	2	42	32	0	125000	3	5123	49	296	715	15
1817	2019-10-02	А	4	17	15	24	32	29	0	100000	0	0	61	233	859	15
1816	2019-10-01	А	1	35	4	17	14	34	1	2832000	8	4284	202	160	2215	15
1815	2019-09-30	Б	4	45	18	2	39	21	0	2804000	1	32149	80	379	1566	15
1814	2019-09-29	А	1	26	1	22	13	45	0	2775000	4	8677	156	210	1891	15
1813	2019-09-28	А	1	45	2	29	3	20	0	2747000	3	10920	182	170	2035	15
1812	2019-09-27	Б	3	37	38	30	44	39	0	2715000	4	9796	122	303	1476	15
1811	2019-09-26	Б	4	30	23	1	22	21	0	2685000	6	5888	190	175	2281	15
1810	2019-09-25	Б	4	25	3	12	29	32	0	2656000	7	4816	145	219	1855	15
1809	2019-09-24	Б	4	40	25	10	37	30	0	2627000	3	11668	177	186	1881	15
1808	2019-09-23	А	2	39	20	37	26	1	0	2600000	4	8132	118	260	1739	15
1807	2019-09-22	Б	3	21	13	31	2	20	0	2574000	4	7608	134	214	1892	15
1806	2019-09-21	А	3	16	14	12	29	4	0	2509000	0	0	138	238	1831	15
1805	2019-09-20	А	3	4	18	14	7	21	0	2481000	6	5714	186	174	2125	15
1804	2019-09-19	А	1	7	24	43	2	38	0	2449000	9	4152	186	189	2511	15
1803	2019-09-18	Б	1	32	17	25	5	34	0	2418000	1	37171	158	222	2045	15
1802	2019-09-17	А	1	33	14	13	18	7	0	2391000	11	2948	312	98	3300	15
1801	2019-09-16	А	4	17	31	28	11	37	0	2362000	5	6895	143	227	1975	15
1800	2019-09-15	Б	4	32	10	2	19	20	0	2335000	1	32103	110	275	1792	15
1799	2019-09-14	Б	3	15	5	6	4	34	0	2306000	3	11238	121	263	1800	15
1798	2019-09-13	А	3	2	8	28	19	4	0	2278000	13	2612	225	142	2346	15
1797	2019-09-12	Б	2	27	34	19	30	6	0	2247000	1	36711	136	254	2073	15
1796	2019-09-11	Б	1	44	12	32	43	19	0	2185000	0	0	92	343	1506	15
1795	2019-09-10	А	3	29	12	26	16	37	0	2154000	6	6232	193	182	1931	15
1794	2019-09-09	А	3	30	32	39	40	44	0	2124000	4	9009	156	218	1880	15
1793	2019-09-08	Б	3	3	21	16	17	30	0	2100000	3	9622	235	116	2360	15
1792	2019-09-07	А	4	5	40	26	1	4	0	2071000	1	34187	151	213	2066	15
1791	2019-09-06	Б	3	20	17	13	33	42	0	2042000	5	7167	181	187	2215	15
1790	2019-09-05	А	3	38	18	22	19	41	0	2011000	6	6261	196	181	2365	15
1789	2019-09-04	Б	3	5	43	12	17	20	0	1985000	3	10101	155	184	2091	15
1788	2019-09-03	Б	2	35	6	19	4	10	0	1956000	5	7007	143	231	1938	15
1787	2019-09-02	Б	1	42	3	20	26	29	0	1929000	5	6301	128	232	1619	15
1786	2019-09-01	А	2	19	33	20	42	11	0	1870000	0	0	198	152	2223	15
1785	2019-08-31	Б	2	18	25	28	44	31	0	1811000	0	0	126	238	1675	15
1784	2019-08-30	А	3	25	26	8	3	31	0	1785000	11	2852	180	164	1993	15
1783	2019-08-29	А	2	9	37	42	3	11	0	1757000	5	6505	146	210	2034	15
1782	2019-08-28	А	3	4	24	36	27	33	0	1732000	3	9629	164	166	1856	15
1781	2019-08-27	А	1	23	2	10	39	22	0	1705000	3	11003	133	234	1819	15
1780	2019-08-26	А	1	25	24	15	36	9	0	1680000	1	30049	130	218	1589	15
1779	2019-08-25	Б	2	29	43	18	37	9	0	1658000	2	13446	103	246	1387	15
1778	2019-08-24	А	1	1	2	34	31	41	0	1632000	1	29615	117	239	1618	15
1777	2019-08-23	Б	4	10	22	23	40	38	0	1609000	13	2176	223	119	2282	15
1776	2019-08-22	А	3	35	1	41	6	29	0	1581000	3	11256	78	408	1430	15
1775	2019-08-21	Б	2	6	17	11	9	15	0	1558000	1	26533	136	184	1887	15
1774	2019-08-20	Б	1	25	8	30	21	7	0	1533000	4	7709	183	159	2256	15
1773	2019-08-19	А	4	12	36	1	43	42	0	1507000	2	15033	84	338	1394	15
1772	2019-08-18	Б	4	30	38	39	15	16	0	1481000	3	10344	111	264	1459	15
1771	2019-08-17	Б	4	36	22	4	20	18	0	1455000	4	7687	120	242	1605	15
1770	2019-08-16	А	4	35	8	24	20	42	0	1428000	7	4619	147	207	1757	15
1769	2019-08-15	А	2	44	30	36	14	45	0	1397000	6	5988	114	297	1408	15
1768	2019-08-14	Б	3	1	32	18	24	4	0	1376000	5	5731	124	218	1592	15
1767	2019-08-13	А	2	35	15	45	17	42	0	1348000	3	11217	116	273	1712	15
1766	2019-08-12	А	4	30	6	41	22	27	0	1316000	0	0	131	220	1515	15
1765	2019-08-11	Б	3	21	44	38	5	29	0	1291000	1	30042	142	199	1724	15
1764	2019-08-10	А	1	30	6	32	5	39	0	1238000	0	0	91	291	1376	15
1763	2019-08-09	Б	1	36	14	30	3	17	0	1211000	2	16628	137	229	1914	15
1762	2019-08-08	А	4	41	7	5	22	24	0	1181000	5	6756	169	188	2005	15
1761	2019-08-07	А	3	2	7	17	18	21	0	1155000	4	7136	212	127	2012	15
1760	2019-08-06	А	3	36	23	8	24	28	0	1127000	3	11235	243	131	2585	15
1759	2019-08-05	Б	3	34	24	6	44	9	0	1099000	1	32410	104	294	1810	15
1758	2019-08-04	А	2	24	18	21	2	45	0	1072000	9	3506	158	188	2013	15
1757	2019-08-03	А	4	1	4	5	37	26	0	1046000	2	14553	128	214	1772	15
1756	2019-08-02	Б	1	32	24	6	40	45	0	1021000	4	7609	109	263	1730	15
1755	2019-08-01	А	1	22	16	24	35	27	0	996000	1	27972	106	249	1528	15
1754	2019-07-31	А	2	40	4	7	3	6	0	968000	11	2825	344	85	4536	8
1753	2019-07-30	А	4	6	5	44	38	28	0	944000	28	1026	610	44	5081	8
1752	2019-07-29	А	2	7	37	39	15	33	0	921000	5	5210	240	102	3606	8
1751	2019-07-28	Б	2	34	22	24	13	20	0	900000	8	3073	225	103	3360	8
1750	2019-07-27	Б	3	15	17	10	13	21	0	879000	8	2900	242	90	3100	8
1749	2019-07-26	Б	1	7	1	18	13	4	0	855000	4	7397	296	94	3422	8
1748	2019-07-25	А	1	30	42	31	14	18	0	830000	12	2575	266	109	3228	8
1747	2019-07-24	А	4	16	30	20	25	22	0	808000	4	6090	228	100	3020	8
1746	2019-07-23	А	4	17	23	9	14	43	0	786000	7	3900	264	97	3573	8
1745	2019-07-22	А	1	35	8	26	45	15	0	766000	6	3756	244	87	2817	8
1744	2019-07-21	Б	3	41	25	16	43	3	0	745000	4	6356	210	114	2491	8
1743	2019-07-20	А	1	23	16	29	43	41	0	723000	2	12004	148	153	2600	8
1742	2019-07-19	Б	4	8	4	15	39	25	0	700000	7	3954	218	119	3043	8
1741	2019-07-18	Б	2	8	38	4	31	9	0	679000	5	5061	349	68	4465	8
1740	2019-07-17	Б	1	21	37	12	26	7	0	660000	13	1586	348	55	3428	8
1739	2019-07-16	Б	4	19	1	29	36	41	0	608000	0	0	196	136	3171	8
1738	2019-07-15	А	3	27	35	28	30	22	0	587000	3	8045	150	151	2197	8
1737	2019-07-14	А	1	39	35	10	43	30	0	564000	1	28206	166	160	2379	8
1736	2019-07-13	Б	3	41	28	27	33	21	0	545000	4	5111	237	81	3174	8
1735	2019-07-12	А	2	18	10	43	5	40	0	524000	5	5021	176	134	2692	8
1734	2019-07-11	А	3	16	34	3	5	25	0	505000	13	1801	299	73	3338	8
1733	2019-07-10	А	1	21	20	40	28	30	0	489000	2	9106	234	73	2682	8
1732	2019-07-09	А	3	19	4	7	1	11	0	470000	10	2297	277	78	2816	8
1731	2019-07-08	А	4	1	26	9	28	7	0	454000	8	2315	230	76	2810	8
1730	2019-07-07	Б	2	16	41	8	6	44	0	437000	6	3429	238	81	3093	8
1729	2019-07-06	А	3	23	7	16	2	9	0	420000	5	3722	176	99	2594	8
1728	2019-07-05	Б	3	30	14	18	31	36	0	401000	4	5699	165	130	2178	8
1727	2019-07-04	Б	4	28	2	11	43	23	0	383000	6	3608	248	82	2944	8
1726	2019-07-03	Б	4	41	15	4	30	31	0	368000	4	4220	117	136	1672	8
1725	2019-07-02	Б	1	11	37	32	29	14	0	353000	1	18949	179	99	2506	8
1724	2019-07-01	Б	4	16	22	25	15	37	0	337000	1	18364	154	112	1876	8
1723	2019-06-30	А	2	7	13	31	16	29	0	322000	8	2329	191	92	2551	8
1722	2019-06-29	А	2	33	36	25	30	5	0	307000	1	15532	99	148	1641	8
1721	2019-06-28	А	1	39	6	19	18	12	0	292000	4	4676	134	131	2098	8
1720	2019-06-27	А	4	43	33	24	26	41	0	279000	6	3040	272	63	2613	8
1719	2019-06-26	Б	2	29	5	3	17	18	0	267000	5	2788	112	117	1703	8
1718	2019-06-25	Б	3	40	13	4	17	34	0	254000	3	5783	135	121	2082	8
1717	2019-06-24	Б	3	24	42	29	23	18	0	241000	8	2038	128	120	1897	8
1716	2019-06-23	Б	1	40	3	12	10	35	0	229000	1	17924	138	122	1704	8
1715	2019-06-22	Б	2	40	3	30	9	20	0	219000	3	4471	150	84	1517	8
1714	2019-06-21	Б	2	16	33	35	18	34	0	207000	1	17456	110	149	1636	8
1713	2019-06-20	Б	3	11	21	34	22	39	0	197000	2	7839	145	102	1997	8
1712	2019-06-19	Б	1	21	22	17	16	40	0	188000	5	2287	112	96	1475	8
1711	2019-06-18	А	2	2	27	22	16	12	0	179000	1	13934	149	88	1673	8
1710	2019-06-17	Б	4	42	3	6	25	35	0	168000	1	14594	117	117	1443	8
1709	2019-06-16	Б	3	26	6	7	42	12	0	160000	0	0	103	117	1634	8
1708	2019-06-15	А	4	18	40	26	25	43	0	152000	1	12341	108	107	1408	8
1707	2019-06-14	Б	2	21	25	4	29	5	0	143000	1	14223	138	97	1871	8
1706	2019-06-13	А	1	32	15	30	4	12	0	133000	3	5190	127	115	1820	8
1705	2019-06-12	Б	1	22	23	37	2	11	0	125000	1	12241	97	119	1431	8
1704	2019-06-11	А	1	16	7	9	40	25	0	116000	9	1466	191	65	1909	8
1703	2019-06-10	А	2	42	25	10	22	23	0	109000	3	3761	121	88	1558	8
1702	2019-06-09	Б	2	15	34	1	6	24	0	101000	3	4175	93	127	1497	8
1701	2019-06-08	А	1	18	10	45	37	28	0	95000	2	4807	88	103	1273	8
1700	2019-06-07	Б	3	38	17	7	13	32	0	88000	3	3363	129	73	1658	8
1699	2019-06-06	Б	3	23	22	5	40	6	0	81000	3	3830	143	75	1635	8
1698	2019-06-05	Б	2	38	1	33	27	8	0	74000	2	4245	82	97	1105	8
1697	2019-06-04	Б	2	9	21	15	43	34	0	67000	2	5085	80	120	1265	8
1696	2019-06-03	Б	4	27	25	12	1	28	0	61000	1	8548	78	103	1001	8
1695	2019-06-02	А	2	7	8	11	43	2	0	56000	4	2058	135	57	1259	8
1694	2019-06-01	Б	1	31	12	28	21	1	0	50000	1	8195	103	75	1121	8
1693	2019-05-31	А	4	4	31	8	15	41	1	137000	2	5907	147	75	1796	8
1692	2019-05-30	А	3	19	26	40	39	3	0	128000	5	2628	178	69	1913	8
1691	2019-05-29	А	3	39	23	37	32	25	0	98000	4	2446	83	111	1288	8
1690	2019-05-28	А	4	43	35	17	22	5	0	90000	2	5921	87	128	1316	8
1689	2019-05-27	А	4	26	34	38	24	14	0	83000	1	9025	109	78	1296	8
1688	2019-05-26	А	1	5	36	30	11	21	0	76000	2	5242	140	70	1451	8
1687	2019-05-25	Б	2	19	3	17	32	2	0	69000	1	8612	67	121	1039	8
1686	2019-05-24	А	2	9	23	20	10	17	0	62000	3	3123	93	95	1183	8
1685	2019-05-23	Б	4	20	8	19	3	7	0	56000	3	3339	113	83	1534	8
1684	2019-05-22	Б	3	40	27	30	25	9	0	50000	0	0	83	95	1039	8
1683	2019-05-21	А	4	40	20	19	9	33	1	197000	18	873	270	55	2625	8
1682	2019-05-20	Б	4	35	44	15	38	8	0	186000	8	1655	183	68	1606	8
1681	2019-05-19	А	1	24	2	34	36	28	0	175000	1	14722	122	113	1541	8
1680	2019-05-18	А	1	21	24	20	12	27	0	165000	1	12232	87	132	1450	8
1679	2019-05-17	Б	3	36	38	17	7	35	0	155000	2	6960	133	98	1755	8
1678	2019-05-16	А	3	37	41	16	34	40	0	143000	3	5389	125	122	1821	8
1677	2019-05-15	А	2	12	45	13	4	40	0	133000	1	11830	91	122	1233	8
1676	2019-05-14	Б	1	35	11	28	12	15	0	121000	1	15804	109	136	1645	8
1675	2019-05-13	Б	4	36	28	5	10	29	0	110000	3	4897	143	97	1682	8
1674	2019-05-12	Б	1	43	15	18	44	32	0	101000	3	4699	95	140	1288	8
1673	2019-05-11	Б	4	16	17	19	45	25	0	93000	0	0	96	104	1354	8
1672	2019-05-10	Б	1	21	7	10	20	24	0	85000	1	11993	151	75	1661	8
1671	2019-05-09	Б	1	22	7	11	17	13	0	79000	5	2010	154	61	1675	8
1670	2019-05-08	Б	1	18	16	25	6	43	0	71000	3	3638	104	99	1154	8
1669	2019-05-07	А	4	1	4	44	35	23	0	63000	3	4306	78	156	1241	8
1668	2019-05-06	А	4	5	44	43	20	40	0	56000	0	0	84	113	1283	8
1667	2019-05-05	А	2	16	33	38	35	28	0	50000	1	8653	63	129	876	8
1666	2019-05-04	А	4	24	3	10	12	22	1	130000	2	5919	118	94	1363	8
1665	2019-05-03	Б	4	22	11	14	29	16	0	121000	8	1658	190	65	1812	8
1664	2019-05-02	А	3	4	10	34	3	21	0	111000	3	4775	137	98	1832	8
1663	2019-05-01	А	4	18	13	45	28	42	0	105000	0	0	60	141	1038	8
1662	2019-04-30	А	1	23	5	25	10	41	0	96000	0	0	108	113	1304	8
1661	2019-04-29	А	3	39	4	25	41	37	0	90000	1	9027	48	177	885	8
1660	2019-04-28	А	4	27	36	40	35	18	0	84000	2	4402	55	151	876	8
1659	2019-04-27	Б	2	14	28	31	24	29	0	76000	2	5600	85	124	1276	8
1658	2019-04-26	Б	3	12	27	2	5	41	0	68000	6	2076	132	89	1519	8
1657	2019-04-25	А	4	23	31	14	40	27	0	58000	1	13639	85	151	1495	8
1656	2019-04-24	А	4	24	18	32	5	11	0	50000	4	2478	102	91	1348	8
1655	2019-04-23	Б	3	10	16	33	26	27	1	304000	4	4370	303	54	3265	8
1654	2019-04-22	Б	3	39	19	14	23	8	0	292000	3	4676	178	74	1886	8
1653	2019-04-21	Б	3	14	34	44	29	11	0	278000	4	4396	123	135	1600	8
1652	2019-04-20	Б	1	24	1	42	25	30	0	252000	0	0	88	144	1303	8
1651	2019-04-19	Б	2	19	13	25	41	4	0	239000	4	3917	138	107	2013	8
1650	2019-04-18	А	4	15	12	19	35	2	0	226000	7	2348	155	100	2101	8
1649	2019-04-17	А	2	45	20	34	23	14	0	216000	3	4045	90	127	1423	8
1648	2019-04-16	А	3	14	42	29	13	11	0	204000	5	3365	130	122	2097	8
1647	2019-04-15	Б	3	32	40	7	29	28	0	194000	2	6439	110	110	1527	8
1646	2019-04-14	Б	2	17	29	34	3	27	0	183000	3	5043	158	90	1893	8
1645	2019-04-13	А	3	41	34	2	8	17	0	175000	1	10206	88	109	1515	8
1644	2019-04-12	Б	4	21	22	1	12	30	0	165000	6	2330	130	101	1551	8
1643	2019-04-11	Б	1	10	27	1	6	38	0	153000	4	3987	136	110	1870	8
1642	2019-04-10	А	3	2	23	13	42	17	0	145000	2	5163	83	117	1141	8
1641	2019-04-09	А	1	39	23	38	33	8	0	135000	10	1364	185	69	1936	8
1640	2019-04-08	Б	1	1	40	10	28	39	0	114000	0	0	104	112	1271	8
1639	2019-04-07	Б	1	10	21	42	7	28	0	96000	0	0	124	82	1528	8
1638	2019-04-06	Б	2	19	10	44	17	39	0	88000	4	2287	95	90	1203	8
1637	2019-04-05	А	2	2	43	18	39	12	0	67000	0	0	70	169	1262	8
1636	2019-04-04	А	2	2	37	25	4	24	0	58000	5	2481	67	174	1435	8
1635	2019-04-03	Б	1	18	30	7	24	32	0	50000	0	0	54	141	756	8
1634	2019-04-02	А	3	28	30	36	24	8	1	319000	3	6216	151	116	2589	8
1633	2019-04-01	Б	3	9	1	28	7	15	0	305000	7	2286	179	84	2035	8
1632	2019-03-31	Б	2	29	31	11	21	25	0	286000	2	11257	215	98	2793	8
1631	2019-03-29	А	3	22	15	21	26	28	0	272000	5	3531	244	68	2570	8
1630	2019-03-28	А	2	24	20	32	4	17	0	254000	2	10696	248	81	3163	8
1629	2019-03-26	Б	1	45	1	19	37	42	0	240000	8	2177	211	77	2298	8
1628	2019-03-25	Б	4	24	12	13	2	5	0	226000	6	2595	145	101	1737	8
1627	2019-03-24	Б	4	20	3	39	29	6	0	209000	2	10108	180	106	2283	8
1626	2019-03-22	А	1	45	26	3	7	24	0	198000	4	3529	170	78	1930	8
